species,flipper_length_mm,culmen_length_mm,culmen_depth_mm,body_mass_g,island,sex
Gentoo penguin (Pygoscelis papua),216,50.5,15.2,5000,Biscoe,FEMALE
Gentoo penguin (Pygoscelis papua),229,49.8,15.9,5950,Biscoe,MALE
Gentoo penguin (Pygoscelis papua),213,43.5,15.2,4650,Biscoe,FEMALE
Gentoo penguin (Pygoscelis papua),230,51.5,16.3,5500,Biscoe,MALE
Gentoo penguin (Pygoscelis papua),217,46.2,14.1,4375,Biscoe,FEMALE
Gentoo penguin (Pygoscelis papua),230,55.1,16,5850,Biscoe,MALE
Gentoo penguin (Pygoscelis papua),217,44.5,15.7,4875,Biscoe,.
Gentoo penguin (Pygoscelis papua),222,48.8,16.2,6000,Biscoe,MALE
Gentoo penguin (Pygoscelis papua),214,47.2,13.7,4925,Biscoe,FEMALE
Gentoo penguin (Pygoscelis papua),215,46.8,14.3,4850,Biscoe,FEMALE
Gentoo penguin (Pygoscelis papua),222,50.4,15.7,5750,Biscoe,MALE
Gentoo penguin (Pygoscelis papua),212,45.2,14.8,5200,Biscoe,FEMALE
Gentoo penguin (Pygoscelis papua),213,49.9,16.1,5400,Biscoe,MALE
Chinstrap penguin (Pygoscelis antarctica),174.99510079991006,44.23535453290717,13.45755267285528,3692.3457835928048,Biscoe,.
Gentoo penguin (Pygoscelis papua),182.60236542263598,48.10706007653852,21.429579153117082,4498.462879399544,Torgersen,FEMALE
Chinstrap penguin (Pygoscelis antarctica),194.22288796719096,46.00317451173374,15.04624530687049,5466.67700956146,Dream,MALE
Gentoo penguin (Pygoscelis papua),201.9210868895186,45.10601507255932,14.905712819027572,4585.602089518931,Dream,FEMALE
Chinstrap penguin (Pygoscelis antarctica),212.31108671090809,52.006555840546625,16.875343930488167,5838.369260474594,Dream,.
Chinstrap penguin (Pygoscelis antarctica),173.2529602280539,41.13288103078389,13.818073723193736,3828.12851567726,Dream,.
Gentoo penguin (Pygoscelis papua),181.07220909713675,40.169478301921984,17.486708199976768,4121.269060242408,Dream,MALE
Adelie Penguin (Pygoscelis adeliae),186.90037641331904,52.41274757190257,20.12939232953724,2932.748701614138,Biscoe,MALE
Gentoo penguin (Pygoscelis papua),179.44990117036292,45.41637497329463,20.18293199036561,3144.2825419981737,Dream,.
Adelie Penguin (Pygoscelis adeliae),179.33985597616814,55.29982408313574,21.305447544322007,3923.768471894825,Torgersen,FEMALE
Adelie Penguin (Pygoscelis adeliae),188.54336748053015,47.217257748908054,15.290387020681345,4523.9742952842935,Dream,.
Chinstrap penguin (Pygoscelis antarctica),201.30708409276386,46.39601733493685,14.73096519894956,3912.893862016194,Torgersen,.
Chinstrap penguin (Pygoscelis antarctica),185.2697970240407,49.75288442168996,15.161205455938795,5767.926173728263,Dream,.
Chinstrap penguin (Pygoscelis antarctica),222.12950430355298,57.72080735831692,16.49604005362086,3610.787323591636,Torgersen,FEMALE
Gentoo penguin (Pygoscelis papua),190.9313481752917,49.66595967983963,14.003027972286633,5486.83564007755,Biscoe,.
Gentoo penguin (Pygoscelis papua),224.94201095450737,52.20055341908969,14.303527235244946,5019.83175621496,Biscoe,.
Gentoo penguin (Pygoscelis papua),172.656849870711,48.64642686718072,17.132801888414704,2944.603436717161,Dream,MALE
Gentoo penguin (Pygoscelis papua),195.3841229032943,55.81036603010633,14.469108308515727,4516.940566220918,Torgersen,.
Adelie Penguin (Pygoscelis adeliae),199.4653356766481,37.01124752378885,20.26058373275353,5568.793111178084,Biscoe,.
Chinstrap penguin (Pygoscelis antarctica),190.65863883094693,43.076009519464826,19.28280169185391,3181.443168541628,Torgersen,MALE
Chinstrap penguin (Pygoscelis antarctica),219.57394766695205,39.88691677602826,18.04277984690907,5672.515336797529,Biscoe,MALE
Chinstrap penguin (Pygoscelis antarctica),193.54586213480962,38.22200000243705,14.363452609085453,5375.523227072684,Torgersen,.
Chinstrap penguin (Pygoscelis antarctica),186.50460702622436,35.921038504524084,16.57773581105764,4319.051000491035,Dream,FEMALE
Gentoo penguin (Pygoscelis papua),198.79177178781813,40.04502597298548,16.349210299788247,5170.076598578628,Dream,MALE
Gentoo penguin (Pygoscelis papua),202.46273760381334,49.903788049379,16.67622690228701,3560.591293290776,Torgersen,MALE
Chinstrap penguin (Pygoscelis antarctica),198.98050662563824,51.17905759123741,16.956638936547716,5105.888452062829,Torgersen,MALE
Chinstrap penguin (Pygoscelis antarctica),191.8449048306307,35.77489590950686,16.02692746807979,2754.9640996022376,Biscoe,.
Chinstrap penguin (Pygoscelis antarctica),201.76416458031105,33.87620291551307,16.792956474529515,3333.2940351893126,Biscoe,.
Adelie Penguin (Pygoscelis adeliae),211.37028167944436,49.659808551658884,18.008303049328795,6117.878957243403,Biscoe,FEMALE
Chinstrap penguin (Pygoscelis antarctica),195.61234335798517,59.544138452693886,20.06744347810349,3172.718987438462,Dream,FEMALE
Adelie Penguin (Pygoscelis adeliae),199.14962572013957,44.874777449389235,19.299427755258254,4954.753728847658,Biscoe,FEMALE
Chinstrap penguin (Pygoscelis antarctica),206.73871469540984,32.341882690486706,19.571814763899695,6133.825796532161,Biscoe,.
Adelie Penguin (Pygoscelis adeliae),192.63208256099946,39.38354929137033,14.159394640097396,3696.0858570183514,Biscoe,MALE
Chinstrap penguin (Pygoscelis antarctica),183.99968676964093,56.79025097991258,17.240144505494385,4666.436962714046,Torgersen,MALE
Adelie Penguin (Pygoscelis adeliae),229.231025842628,33.68455659702803,13.234565440796171,3484.542249689193,Torgersen,FEMALE
Gentoo penguin (Pygoscelis papua),185.3934893388387,48.35643624386775,16.76806904106579,5843.385348757385,Dream,.
Adelie Penguin (Pygoscelis adeliae),192.2378242552113,51.92526198532036,17.901524488128636,3591.1073393600122,Biscoe,MALE
Gentoo penguin (Pygoscelis papua),183.9523113352495,52.97854665753553,13.994470522996046,5391.865162088522,Biscoe,MALE
Gentoo penguin (Pygoscelis papua),220.4745278538037,58.46509582944314,21.25769150674087,5572.9744143104435,Biscoe,FEMALE
Adelie Penguin (Pygoscelis adeliae),208.06872794660694,47.779933854610746,19.052235428039772,5420.283401874552,Biscoe,MALE
Adelie Penguin (Pygoscelis adeliae),184.58966964207053,48.57015096669362,18.83558931768472,3220.520367151051,Dream,MALE
Chinstrap penguin (Pygoscelis antarctica),198.07469170243542,56.24236598833093,18.168266998760075,5702.011927026822,Dream,FEMALE
Gentoo penguin (Pygoscelis papua),175.1770470315312,34.960885734935765,13.656833217644792,4329.50345245764,Torgersen,.
Chinstrap penguin (Pygoscelis antarctica),183.10717011093854,36.506599321181305,21.379646139792207,3169.6488168409614,Biscoe,FEMALE
Gentoo penguin (Pygoscelis papua),177.2607210441696,40.44626437579797,17.147319946695823,5224.872729567745,Torgersen,MALE
Adelie Penguin (Pygoscelis adeliae),215.679195198918,53.34866904302286,19.335058707511678,6058.224871969,Dream,MALE
Gentoo penguin (Pygoscelis papua),193.03954438697707,42.17551226173845,18.896532794289246,3640.5412395858034,Dream,MALE
Gentoo penguin (Pygoscelis papua),200.47971774509642,36.111140781377074,17.238830358064384,5060.6207633079275,Dream,.
Adelie Penguin (Pygoscelis adeliae),200.85912825263125,35.57184741283825,15.03355645875042,4930.424467624136,Torgersen,.
Chinstrap penguin (Pygoscelis antarctica),174.59057486228767,51.26541567501873,14.492756428504997,6164.7847707508345,Dream,FEMALE
Chinstrap penguin (Pygoscelis antarctica),191.38427397334362,57.67642301134684,19.985863855486457,3599.47051872053,Biscoe,MALE
Adelie Penguin (Pygoscelis adeliae),199.39057532766407,57.470381568491035,14.099043793830116,3858.2366795345442,Biscoe,.
Chinstrap penguin (Pygoscelis antarctica),214.97081958860687,52.66159994880242,15.374045386455863,4342.674816274575,Dream,MALE
Chinstrap penguin (Pygoscelis antarctica),227.61322778972834,45.201497275591116,20.470913912284807,5274.394392366416,Torgersen,FEMALE
Chinstrap penguin (Pygoscelis antarctica),176.04883553931472,35.360942533487375,14.820569615713836,3005.3743527026177,Biscoe,.
Adelie Penguin (Pygoscelis adeliae),188.3299054481198,39.62395803120036,20.07938835900854,2832.6439109704115,Torgersen,MALE
Adelie Penguin (Pygoscelis adeliae),174.96362530771827,46.43372543709772,19.876916097725527,3966.1360132043415,Biscoe,.
Adelie Penguin (Pygoscelis adeliae),225.8858861826502,56.58950700113482,19.693031507328676,5710.31441124685,Biscoe,.
Gentoo penguin (Pygoscelis papua),224.47329594501747,56.550649513363894,17.478434894960728,5548.887339876198,Dream,MALE
Adelie Penguin (Pygoscelis adeliae),175.82395322834975,52.34449777956297,21.148484250986677,5635.352007402735,Torgersen,.
Chinstrap penguin (Pygoscelis antarctica),208.54469073495767,47.32513741274939,17.793940556696988,3980.597875780026,Biscoe,MALE
Gentoo penguin (Pygoscelis papua),216.6103933578651,51.41633979377699,19.663741831240657,4055.974002472565,Biscoe,FEMALE
Gentoo penguin (Pygoscelis papua),187.71508131246216,46.842701235438426,19.801927948400134,6128.776772963873,Dream,MALE
Adelie Penguin (Pygoscelis adeliae),202.53569128152097,54.90991273833414,16.025272583427896,3716.3404914505536,Dream,MALE
Chinstrap penguin (Pygoscelis antarctica),174.57809990283508,54.27703524944495,19.448234297891503,3448.032573397576,Biscoe,FEMALE
Adelie Penguin (Pygoscelis adeliae),173.5912422332288,57.23978939384714,17.962060405661667,5910.763854136141,Biscoe,.
